ts_year,ts_month,ts_day,ts_hour,ts_min,ts_second,active_cores,total_cores,frequency,avg_load,temperature
2023,1,22,23,24,40,5,12,3680.041260,1.416667,69.000000
2023,1,22,23,24,41,1,12,3600.040283,0.166667,68.750000
2023,1,22,23,24,42,5,12,3660.041016,1.250000,69.125000
2023,1,22,23,24,43,7,12,3700.041504,0.916667,69.625000
2023,1,22,23,24,44,3,12,3680.041260,1.500000,69.500000
2023,1,22,23,24,45,3,12,3660.041016,1.083333,69.875000
2023,1,22,23,24,46,7,12,3640.041016,1.333333,69.625000
2023,1,22,23,24,47,2,12,3600.040283,0.500000,69.625000
2023,1,22,23,24,48,10,12,3740.041992,0.916667,68.875000
2023,1,22,23,24,49,5,12,3600.040283,1.583333,68.625000
2023,1,22,23,24,50,4,12,3660.041016,1.000000,68.000000
2023,1,22,23,24,51,4,12,3680.041260,0.666667,68.375000
2023,1,22,23,24,52,10,12,3700.041504,1.083333,68.375000
2023,1,22,23,24,53,4,12,2880.032227,0.750000,67.500000
2023,1,22,23,24,54,4,12,3600.040283,1.666667,67.375000
2023,1,22,23,24,55,12,12,3680.041260,1.666667,66.875000
2023,1,22,23,24,56,3,12,3600.040283,0.583333,66.750000
2023,1,22,23,24,57,4,12,3700.041504,0.416667,66.500000
2023,1,22,23,24,58,2,12,3700.041504,0.166667,65.875000
2023,1,22,23,24,59,6,12,3700.041504,1.583333,66.250000
2023,1,22,23,25,0,4,12,3660.041016,1.333333,66.500000
2023,1,22,23,25,1,3,12,3700.041504,1.166667,67.343750
2023,1,22,23,25,2,8,12,3680.041260,1.083333,67.875000
2023,1,22,23,25,3,3,12,3700.041504,0.333333,67.375000
2023,1,22,23,25,4,2,12,3600.040283,1.083333,67.500000
2023,1,22,23,25,5,4,12,3700.041504,0.916667,66.625000
2023,1,22,23,25,6,8,12,3600.040283,1.000000,66.875000
2023,1,22,23,25,7,0,12,3740.041992,0.000000,66.000000
2023,1,22,23,25,8,3,12,3700.041504,0.500000,65.625000
2023,1,22,23,25,9,8,12,3680.041260,1.833333,67.125000
2023,1,22,23,25,10,4,12,3680.041260,1.250000,67.750000
2023,1,22,23,25,11,3,12,3700.041504,0.500000,67.125000
2023,1,22,23,25,12,7,12,3700.041504,1.333333,67.250000
2023,1,22,23,25,13,6,12,3600.040283,0.750000,66.822917
2023,1,22,23,25,14,3,12,3720.041748,1.333333,67.375000
2023,1,22,23,25,15,4,12,4525.050781,1.083333,67.250000
2023,1,22,23,25,16,5,12,2880.032227,0.666667,67.375000
2023,1,22,23,25,17,3,12,3720.041748,0.833333,67.000000
2023,1,22,23,25,18,5,12,3720.041748,1.000000,67.500000
2023,1,22,23,25,19,6,12,3700.041504,1.916667,68.250000
2023,1,22,23,25,20,2,12,3640.041016,1.000000,68.875000
2023,1,22,23,25,21,10,12,3660.041016,2.083333,71.250000
2023,1,22,23,25,22,8,12,3700.041504,1.166667,70.875000
2023,1,22,23,25,23,1,12,3700.041504,0.083333,69.625000
2023,1,22,23,25,24,7,12,3700.041504,2.166667,69.875000
2023,1,22,23,25,25,4,12,3680.041260,0.916667,68.625000
2023,1,22,23,25,26,7,12,3700.041504,0.666667,67.875000
2023,1,22,23,25,27,1,12,3700.041504,0.083333,66.750000
2023,1,22,23,25,28,2,12,3700.041504,0.166667,66.750000
2023,1,22,23,25,29,5,12,3640.041016,2.083333,68.250000
2023,1,22,23,25,30,9,12,3680.041260,1.166667,68.375000
2023,1,22,23,25,31,5,12,3700.041504,0.833333,67.500000
2023,1,22,23,25,32,1,12,3700.041504,0.500000,67.125000
2023,1,22,23,25,33,1,12,3700.041504,0.083333,66.000000
2023,1,22,23,25,34,3,12,3680.041260,1.333333,68.125000
2023,1,22,23,25,35,2,12,3700.041504,0.583333,67.770833
2023,1,22,23,25,36,3,12,3680.041260,0.583333,67.250000
2023,1,22,23,25,37,2,12,3700.041504,0.166667,66.375000
2023,1,22,23,25,38,2,12,3600.040283,0.250000,65.500000
